"Name","Calls","TotalDurationNs","AverageNs","Percentage"
hipMemcpy,3,330918845,110306281,99.77512558361883
hipLaunchKernel,1,410058,410058,0.12363632070143231
hipFree,3,173445,57815,0.052295289066570896
hipHostMalloc,3,154683,51561,0.04663837065746713
hipHostGetDevicePointer,3,4021,1340,0.0012123690930074755
__hipPushCallConfiguration,1,2631,2631,0.0007932710976629366
__hipPopCallConfiguration,1,991,991,0.0002987957650262144
